Site Folder,URL,Multimodal_Decision,Image Phish Score,Image_Decision,Text Phish Score,Text_Decision,Image Features,Text Features,Fused Features
www.inpots-gouv.eu,http://www.inpots-gouv.eu/fr/impots/customer-IDPP00C399/sms.html,benign,0.00,0,0.20,0,1.00|0.00|0.68|0.00|0.00|0.00|0.00|0.50|0.00|0.00|1.00|0.00|0.00|0.00|0.00,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.20,0.4254|0.0000|0.2879|0.0000|0.0000|0.0000|0.0000|0.2127|0.0021|0.0000|0.4254|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.3000
minivale.com,http://minivale.com/CD/index.php,phishing,1.00,1,0.70,1,1.00|1.00|0.85|1.00|1.00|1.00|0.00|0.70|0.01|0.00|1.00|0.85|1.00|0.00|1.00,1.00|1.00|0.00|0.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.70,0.2221|0.2221|0.1888|0.2221|0.2221|0.2221|0.0000|0.1555|0.0017|0.0000|0.2221|0.1888|0.2221|0.0000|0.2221|0.1416|0.1416|0.0000|0.0000|0.1416|0.1416|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0991
eafreight.ltd,http://eafreight.ltd/-/telekom/,phishing,1.00,1,0.35,0,1.00|1.00|0.85|1.00|1.00|1.00|0.00|0.70|0.00|0.00|1.00|0.85|1.00|0.00|1.00,1.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.35,0.2221|0.2221|0.1888|0.2221|0.2221|0.2221|0.0000|0.1555|0.0009|0.0000|0.2221|0.1888|0.2221|0.0000|0.2221|0.2061|0.0000|0.0000|0.0000|0.2061|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0713
cengelkoylife.com,http://cengelkoylife.com/CREDlTS.txt/db/db,benign,0.00,0,0.24,0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.24,0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.6804|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.1646
messagerie-fr-c-credit-agricole.fr,https://messagerie-fr-c-credit-agricole.fr/FR/eec99ea5fc8d23b/region.php?particulier,phishing,1.00,1,0.20,0,1.00|1.00|0.85|1.00|1.00|0.00|1.00|0.70|0.01|0.00|1.00|0.85|1.00|0.00|1.00,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.20,0.2221|0.2221|0.1888|0.2221|0.2221|0.0000|0.2221|0.1555|0.0013|0.0000|0.2221|0.1888|0.2221|0.0000|0.2221|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.3000
www.mooncarstereo.com,http://www.mooncarstereo.com/in/,phishing,1.00,1,0.20,0,1.00|1.00|0.85|1.00|1.00|0.00|0.00|0.70|0.01|0.00|1.00|0.85|1.00|0.00|1.00,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.20,0.2342|0.2342|0.1991|0.2342|0.2342|0.0000|0.0000|0.1639|0.0014|0.0000|0.2342|0.1991|0.2342|0.0000|0.2342|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.3000
allied.secured.services,http://allied.secured.services/desjardins/templates/transactions.php?lang=fre&confirmed=yes&customer_id=529c49f82ef11d471f961fce7a8ced5b67c8c381,benign,0.60,0,0.24,0,1.00|1.00|0.85|1.00|0.00|0.00|0.00|0.70|0.00|0.00|1.00|0.85|0.00|0.00|0.60,0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.24,0.2790|0.2790|0.2371|0.2790|0.0000|0.0000|0.0000|0.1953|0.0012|0.0000|0.2790|0.2371|0.0000|0.0000|0.1674|0.0000|0.0000|0.0000|0.0000|0.2916|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0706
manligtharavfall.se_duplicate,http://manligtharavfall.se/agricole/01150,phishing,1.00,1,0.33,0,1.00|1.00|0.85|1.00|1.00|0.00|0.00|0.70|0.00|0.00|1.00|0.85|1.00|0.00|1.00,0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.33,0.2342|0.2342|0.1991|0.2342|0.2342|0.0000|0.0000|0.1639|0.0011|0.0000|0.2342|0.1991|0.2342|0.0000|0.2342|0.0000|0.0000|0.2853|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0927
impotsinfo.altervista.org,https://impotsinfo.altervista.org/wp-content/uploads/SUIVI-VOTRE.REMBOURSEMENT/www.impots.gouv.fr/www.impots.gouv.fr/file/imp-ghx333/send.php,phishing,0.00,0,0.72,1,1.00|0.00|0.74|0.00|0.00|0.00|1.00|0.50|0.00|0.00|1.00|0.00|0.00|0.00|0.00,0.00|1.00|1.00|0.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.72,0.3591|0.0000|0.2661|0.0000|0.0000|0.0000|0.3591|0.1796|0.0011|0.0000|0.3591|0.0000|0.0000|0.0000|0.0000|0.0000|0.1411|0.1411|0.0000|0.1411|0.1411|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.1017
spreadstyle.top,https://spreadstyle.top/billing/spsauth/verify.php,phishing,1.00,1,0.41,0,1.00|1.00|0.85|1.00|1.00|0.00|1.00|0.70|0.01|0.00|1.00|0.85|1.00|0.00|1.00,0.00|0.00|0.00|0.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.41,0.2221|0.2221|0.1888|0.2221|0.2221|0.0000|0.2221|0.1555|0.0016|0.0000|0.2221|0.1888|0.2221|0.0000|0.2221|0.0000|0.0000|0.0000|0.0000|0.2038|0.2038|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0832
cocuva.com,https://cocuva.com/onedrive/docusign/verification,phishing,1.00,1,0.20,0,1.00|1.00|0.85|1.00|1.00|1.00|1.00|0.70|0.01|0.00|1.00|0.85|1.00|0.00|1.00,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.20,0.2117|0.2117|0.1799|0.2117|0.2117|0.2117|0.2117|0.1482|0.0017|0.0000|0.2117|0.1799|0.2117|0.0000|0.2117|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.3000
casace.org_duplicate,http://casace.org/sites/default/files/audio/wp/client.id9870626653/credit.agricol/agri/c2c91,benign,0.00,0,0.33,0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.33,0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.6657|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.2164
messagerie-fr-fr-credit-agricole.fr,http://messagerie-fr-fr-credit-agricole.fr/FR/2661ac5fa0c7770/region.php,phishing,1.00,1,0.20,0,1.00|1.00|0.85|1.00|1.00|0.00|0.00|0.70|0.01|0.00|1.00|0.85|1.00|0.00|1.00,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.20,0.2342|0.2342|0.1991|0.2342|0.2342|0.0000|0.0000|0.1639|0.0014|0.0000|0.2342|0.1991|0.2342|0.0000|0.2342|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.3000
directaarquitetura.com,http://directaarquitetura.com/user/D2017HL/u.php,phishing,1.00,1,0.53,1,1.00|1.00|0.85|1.00|1.00|1.00|0.00|0.70|0.04|0.00|1.00|0.85|1.00|0.00|1.00,0.00|0.00|1.00|0.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.53,0.2221|0.2221|0.1888|0.2221|0.2221|0.2221|0.0000|0.1554|0.0097|0.0000|0.2221|0.1888|0.2221|0.0000|0.2221|0.0000|0.0000|0.1655|0.0000|0.1655|0.1655|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0882
radiafinity53.com,https://radiafinity53.com/wp-admin/chaseonline.com/chase/auth/,phishing,1.00,1,0.20,0,1.00|1.00|0.85|1.00|1.00|1.00|1.00|0.70|0.00|0.00|1.00|0.85|1.00|0.00|1.00,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.20,0.2117|0.2117|0.1799|0.2117|0.2117|0.2117|0.2117|0.1482|0.0010|0.0000|0.2117|0.1799|0.2117|0.0000|0.2117|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.3000
kooldawg.byethost31.com,http://kooldawg.byethost31.com/dota/login/caxLWZhMjUtNTE32145/627a7,phishing,1.00,1,0.20,0,1.00|1.00|0.85|1.00|1.00|0.00|0.00|0.70|0.01|0.00|1.00|0.85|1.00|0.00|1.00,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.20,0.2342|0.2342|0.1991|0.2342|0.2342|0.0000|0.0000|0.1639|0.0013|0.0000|0.2342|0.1991|0.2342|0.0000|0.2342|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.3000
www.morrgroup.com,http://www.morrgroup.com/images/mydocusign.html,phishing,1.00,1,0.70,1,1.00|1.00|0.85|1.00|1.00|1.00|0.00|0.70|0.01|0.00|1.00|0.85|1.00|0.00|1.00,1.00|1.00|0.00|0.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.70,0.2221|0.2221|0.1888|0.2221|0.2221|0.2221|0.0000|0.1555|0.0015|0.0000|0.2221|0.1888|0.2221|0.0000|0.2221|0.1416|0.1416|0.0000|0.0000|0.1416|0.1416|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0991
radiohits91.ml,https://radiohits91.ml/~gntcncum/D/H/L/EX-Press/document-/=46d37d3ffe90b3e56482e0726a2ff729cad88d5916aeb3e4a2a1d3c8889afd000dffdd18fe1509450bde3c1eebdef4be/tracking2.php,phishing,1.00,1,1.07,1,1.00|1.00|0.85|1.00|1.00|1.00|1.00|0.70|0.02|0.00|1.00|0.85|1.00|0.00|1.00,1.00|1.00|0.00|1.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|1.07,0.2117|0.2117|0.1799|0.2117|0.2117|0.2117|0.2117|0.1482|0.0032|0.0000|0.2117|0.1799|0.2117|0.0000|0.2117|0.1209|0.1209|0.0000|0.1209|0.1209|0.1209|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.1300
mail.mufad.net,https://mail.mufad.net/XJYOLCGJCCHPHKOJ/BCZILWLHHGLIITNF/MYFWUISYLYNHUCAM/fr1,benign,0.00,0,0.33,0,1.00|0.00|0.67|0.00|0.00|0.00|1.00|0.50|0.01|0.00|1.00|0.00|0.00|0.00|0.00,0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.33,0.3636|0.0000|0.2454|0.0000|0.0000|0.0000|0.3636|0.1818|0.0021|0.0000|0.3636|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.2853|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0927
emcoair.net_duplicate,https://emcoair.net/chasesecurity/Update-Virus/CH4S3EMPIR3/home/,phishing,1.00,1,0.00,0,1.00|1.00|0.85|1.00|1.00|1.00|1.00|0.70|0.01|0.00|1.00|0.85|1.00|0.00|1.00,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.2117|0.2117|0.1799|0.2117|0.2117|0.2117|0.2117|0.1482|0.0018|0.0000|0.2117|0.1799|0.2117|0.0000|0.2117|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000
paytolink.co,http://paytolink.co/enol/,benign,0.00,0,0.20,0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.20,0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.7000
www.tribratanews-polresciamis.com,http://www.tribratanews-polresciamis.com/wordpress/wp-admin/css/,phishing,1.00,1,0.33,0,1.00|1.00|0.85|1.00|1.00|0.00|0.00|0.70|0.00|0.00|1.00|0.85|1.00|0.00|1.00,0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.33,0.2342|0.2342|0.1991|0.2342|0.2342|0.0000|0.0000|0.1639|0.0011|0.0000|0.2342|0.1991|0.2342|0.0000|0.2342|0.0000|0.0000|0.2853|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0927
dairesanat.com,https://dairesanat.com/cache/tonline/usrs.php?claims=%7B%22id_token%22:%7B%22urn:telekom.com:all%22:%7B%22essential%22:true%7D%7D%7D&client_id=10LIVESAM30000004901AM200000000000000000&logout_uri=https://account.idm.telekom.com/account-manager/logout&nonce=563d9372867c&redirect_uri=https://account.idm.telekom.com/account-manager/openid_connect_login&response_type=code&state=36184e7e08e66&uri=https://accounts.login.idm.telekom.com/oauth2/auth?scope=openid,benign,0.00,0,0.35,0,1.00|0.00|0.64|0.00|0.00|0.00|1.00|0.50|0.00|0.00|1.00|0.00|0.00|0.00|0.00,1.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.35,0.3660|0.0000|0.2338|0.0000|0.0000|0.0000|0.3660|0.1830|0.0015|0.0000|0.3660|0.0000|0.0000|0.0000|0.0000|0.2061|0.0000|0.0000|0.0000|0.2061|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0713
docuelectronicsignatureadmin.weebly.com,http://docuelectronicsignatureadmin.weebly.com/,phishing,1.00,1,0.53,1,1.00|1.00|0.85|1.00|1.00|0.00|0.00|0.70|0.00|0.00|1.00|0.85|1.00|0.00|1.00,0.00|0.00|1.00|0.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.53,0.2342|0.2342|0.1991|0.2342|0.2342|0.0000|0.0000|0.1639|0.0004|0.0000|0.2342|0.1991|0.2342|0.0000|0.2342|0.0000|0.0000|0.1655|0.0000|0.1655|0.1655|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0882
fecosmetics.asia,https://fecosmetics.asia/closingdocuments,phishing,1.00,1,0.70,1,1.00|1.00|0.85|1.00|1.00|1.00|1.00|0.70|0.01|0.00|1.00|0.85|1.00|0.00|1.00,1.00|1.00|0.00|0.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.70,0.2117|0.2117|0.1799|0.2117|0.2117|0.2117|0.2117|0.1482|0.0017|0.0000|0.2117|0.1799|0.2117|0.0000|0.2117|0.1416|0.1416|0.0000|0.0000|0.1416|0.1416|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0991
messagerie-fr-c-credit-agricole.fr_duplicate,https://messagerie-fr-c-credit-agricole.fr/FR/,phishing,1.00,1,0.20,0,1.00|1.00|0.85|1.00|1.00|0.00|1.00|0.70|0.01|0.00|1.00|0.85|1.00|0.00|1.00,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.20,0.2221|0.2221|0.1888|0.2221|0.2221|0.0000|0.2221|0.1555|0.0013|0.0000|0.2221|0.1888|0.2221|0.0000|0.2221|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.3000
noleggiolungotermineprivati.net_duplicate,http://noleggiolungotermineprivati.net/agri/08a47/,phishing,1.00,1,0.33,0,1.00|1.00|0.85|1.00|1.00|0.00|0.00|0.70|0.00|0.00|1.00|0.85|1.00|0.00|1.00,0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.33,0.2342|0.2342|0.1991|0.2342|0.2342|0.0000|0.0000|0.1639|0.0011|0.0000|0.2342|0.1991|0.2342|0.0000|0.2342|0.0000|0.0000|0.2853|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0927
zoxyz.xyz,http://zoxyz.xyz/DHLCN,benign,0.00,0,0.33,0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.33,0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.6657|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.2164
casace.org,http://casace.org/sites/default/files/audio/wp/client.id9870626653/credit.agricol/agri/c2c91/,phishing,1.00,1,0.33,0,1.00|1.00|0.85|1.00|1.00|0.00|0.00|0.70|0.00|0.00|1.00|0.85|1.00|0.00|1.00,0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.33,0.2342|0.2342|0.1991|0.2342|0.2342|0.0000|0.0000|0.1639|0.0011|0.0000|0.2342|0.1991|0.2342|0.0000|0.2342|0.0000|0.0000|0.2853|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0927
cemad.org,http://cemad.org/web/wp-includes/js/eim/,phishing,1.00,1,0.24,0,1.00|1.00|0.85|1.00|1.00|1.00|0.00|0.70|0.00|0.00|1.00|0.85|1.00|0.00|1.00,0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.24,0.2221|0.2221|0.1888|0.2221|0.2221|0.2221|0.0000|0.1555|0.0010|0.0000|0.2221|0.1888|0.2221|0.0000|0.2221|0.0000|0.0000|0.0000|0.0000|0.2916|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0706
www.justlookapp.com_duplicate,http://www.justlookapp.com/blog/wp-content/themes/storefront/assets/fonts/ef3b6d7e8dd8978baa83223e05b27f1a/remboursement.php,benign,0.00,0,0.24,0,1.00|0.00|0.67|0.00|0.00|0.00|0.00|0.50|0.01|0.00|1.00|0.00|0.00|0.00|0.00,0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.24,0.4256|0.0000|0.2872|0.0000|0.0000|0.0000|0.0000|0.2128|0.0022|0.0000|0.4256|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.2916|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0706
saequity.com_duplicate,http://saequity.com/wp-includes/SimplePie/XML/~/DHL/tracking.php?l=_JeHFUq_VJOXK0QWHtoGYDw_Product-UserID&userid=,phishing,1.00,1,1.07,1,1.00|1.00|0.85|1.00|1.00|1.00|0.00|0.70|0.02|0.00|1.00|0.85|1.00|0.00|1.00,1.00|1.00|0.00|1.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|1.07,0.2221|0.2221|0.1888|0.2221|0.2221|0.2221|0.0000|0.1555|0.0033|0.0000|0.2221|0.1888|0.2221|0.0000|0.2221|0.1209|0.1209|0.0000|0.1209|0.1209|0.1209|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.1300
cota.tur.br,http://cota.tur.br/cazinwa,phishing,1.00,1,0.33,0,1.00|1.00|0.85|1.00|1.00|0.00|0.00|0.70|0.01|0.00|1.00|0.85|1.00|0.00|1.00,0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.33,0.2342|0.2342|0.1991|0.2342|0.2342|0.0000|0.0000|0.1639|0.0012|0.0000|0.2342|0.1991|0.2342|0.0000|0.2342|0.0000|0.0000|0.2853|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0927
