folder,url,phish_category,pred_target,matched_domain,siamese_conf
www.argumentculture.com,http://www.argumentculture.com/survey/sf43ee33/source=12891/subid=e:imcw5avqpcvdcy59ttdd-vtjf4nyumb3jl1gvlnkr1s&subid2=morganintown.com&subid3=e:yo-rq4q8weazhx5ep9r_mw&subid4=freenet.de&firstname=klaus&surname=silbernagl&city=untermeitingen&email=jackdavis@eureliosollutions.com/pid=19,0,Amazon,"['amazon.com', 'amazon.se', 'amazon.fr']",0.93288404
my-type.nichost.ru,http://my-type.nichost.ru/includes/www.netflix.com/desktop/conta/inicio119290181912.php?tork=0YWK9L3O0YWK-7VES-0YWK7VES7VES-3Z667VES,1,Netflix,['netflix.com'],0.98386556
caviarkelp.com_duplicate,http://caviarkelp.com/adobe/acrobat/error.php,1,Adobe,['adobe.com'],0.9524699
act-fire.kz,http://act-fire.kz/llehsd/trider/lia/oj/index.htm,1,Alibaba,"['alibaba.com', 'tanx.com']",0.9683999
dewaltweedeaterguide.com,http://dewaltweedeaterguide.com/drop/Dropbox/wp-incllude/,1,Dropbox,['dropbox.com'],0.95815766
about.facebook-page.business-id-145654234324234.com,https://about.facebook-page.business-id-145654234324234.com/,1,Facebook,['facebook.com'],0.9832494
solutionsksa.com,http://solutionsksa.com/wp-content/uploads/2020/login.php,0,,,0.7993984
m-secure-facebook.id4546666-listing.com,http://m-secure-facebook.id4546666-listing.com/,1,Facebook,['facebook.com'],0.9832494
www.bossoillwell.com,https://www.bossoillwell.com/good/showmessaget/202,0,Adobe,['adobe.com'],0.89439607
lplatinum.ru,http://lplatinum.ru/includes/class/651/page.php,1,EMS,['ems.com'],0.94890904
canblog.co.za,http://canblog.co.za/jk/gfilepro/SP12/SP/4CAl5XULIRMFsYEx9S0Pi6zT_7Z2Jr&wbkofO3vDGn1VeHch8BymNtdWaQK/personal.php?loqln=sbmit&id=6098c1092cc982e462f97eb1afde21&session=a17f6e1987a14b16a3c87c4093fb3177,0,Microsoft,['microsoft.com'],0.9422795
truluv.ca,http://truluv.ca/uhuru/No_cap/FBG/,0,Microsoft,['microsoft.com'],0.96380687
upgd.ddns.net,https://upgd.ddns.net/bv/index.php,0,,,0.78135365
mail.pubgmobile.pubgevents2020.com,https://mail.pubgmobile.pubgevents2020.com/login/facebook/,1,Facebook,['facebook.com'],0.96901053
elmerfortreasurer.org,http://elmerfortreasurer.org/prime/ref=nav_tooltip_redirect/137-2593022-9415216,0,Amazon,"['amazon.com', 'amazon.se', 'amazon.fr']",0.9338812
petrogulf.com.kw_duplicate,http://petrogulf.com.kw/wp-admin/sharefile/Adobe/Adobe/pdf-cloud-sharing/,1,Adobe,['adobe.com'],0.9507174
www.churrascariameinhaus.com.br,http://www.churrascariameinhaus.com.br/novosite/respondi/compte/verifier/Apple.fr/,0,,,0.76601815
supercentroelfuerte.com,http://supercentroelfuerte.com/P2Y9ZjEmYW1wO2w9ZSZhbXA7aT0zMDQ2NzQma2V5PTA2Njk4ODM=,1,Facebook,['facebook.com'],0.9544453
dropbox.bilgenart.com,http://dropbox.bilgenart.com/374f8469815d864b0a9aa36eec85795f,1,Dropbox,['dropbox.com'],0.9677458
tamilexim.club,https://tamilexim.club/wp-content/plugins/aaaaa/sitekey.go.html,1,Bank of America,"['bankofamerica.com', 'merrilledge.com']",0.95411843
stluciafloral.com,http://stluciafloral.com/wp-includes/SimplePie/Content/Adobe_page.html,0,,,
textlifestylerookiec.gq_duplicate,https://textlifestylerookiec.gq/documenteOview/rvqjseptt66izwsmtj5rwj6k.php,1,Dropbox,['dropbox.com'],0.98300433
duiliobozic.000webhostapp.com,http://duiliobozic.000webhostapp.com/,0,,,0.82189786
fb.com.markeetplace.us,http://fb.com.markeetplace.us/,1,Facebook,['facebook.com'],0.9441148
srisawarakrabi.com,https://srisawarakrabi.com/a/att/index.html,1,AT&T,['att.com'],0.89996946
login.netflix.self-funding-membership.com,https://login.netflix.self-funding-membership.com/Files/Login.php,1,Netflix,['netflix.com'],0.98502696
bluebonneths-web-inv.tk,https://bluebonneths-web-inv.tk/adobe/PDF/security,0,,,0.7781273
tuyzg65y4l.projects.webpages.one,https://tuyzg65y4l.projects.webpages.one/,1,Facebook,['facebook.com'],0.9871599
vanprint.am,http://vanprint.am/wp-admin/includes/Alibaba.com/Login.htm,1,Alibaba,"['alibaba.com', 'tanx.com']",0.9372744
maciel.med.br,http://maciel.med.br/wp-includes/images/up/form/index.html,0,,,0.7692941
cgi.ebay.de.annas.id,http://cgi.ebay.de.annas.id/,1,eBay,['befr.ebay.be'],0.96989816
pa-per-doc.ew.r.appspot.com,https://pa-per-doc.ew.r.appspot.com/,1,Microsoft,['microsoft.com'],0.9725617
careeresl.com,http://careeresl.com/adobe/adobe/index.php?email=damon@maxforklift.com,0,,,0.76302576
www.adobereader.cloud_duplicate,http://www.adobereader.cloud/docushare/,0,,,
ebay-sellers-promotion.free-listings-starting-today-02.live,https://ebay-sellers-promotion.free-listings-starting-today-02.live/,1,eBay,['befr.ebay.be'],0.9646578
orasasaaoskset.tk,https://orasasaaoskset.tk/__MACOSX/Comingsoon/sec/nsw%202/data/UntitledNotebook1.html?run=login_cmd&statuts=f17ca2c829680ada2fec9fc87bc5f606d91e8feca2b93d75682e1ec28b16a841,0,,,0.88223195
adobe-docs.000webhostapp.com,https://adobe-docs.000webhostapp.com/,0,Adobe,['adobe.com'],0.9566389
www.livingwagenyc.org,http://www.livingwagenyc.org/files/poster/scan/pdfonline,0,,,0.82189786
signnln-eboy.de,https://signnln-eboy.de/4c1f00cd117e0f1e8e42a646ccb9ffcc.php,1,eBay,['befr.ebay.be'],0.97604424
areczpso.000webhostapp.com,https://areczpso.000webhostapp.com/login.htm,1,Facebook,['facebook.com'],0.9674819
thedelaneyseniorliving-web-doc.tk,http://thedelaneyseniorliving-web-doc.tk/adobe/email/security,0,,,0.7781273
allpropertyall.com,https://allpropertyall.com/food/BOA/qes.php,1,Bank of America,"['bankofamerica.com', 'merrilledge.com']",0.9914703
realestate-agent.page4803184746.com,http://realestate-agent.page4803184746.com/,1,Facebook,['facebook.com'],0.9607303
orthotruth.com_duplicate,http://orthotruth.com/wp-content/upgrade/applekeystoreKey6781688ltunesconnectkey8913/login/billingaddress.php,1,Apple,"['apple.com', 'icloud.com']",0.97841537
bluebonneths-web-doc.ga_duplicate,https://bluebonneths-web-doc.ga/adobe/email/security,0,,,0.7781273
www.artesacracremona.it,http://www.artesacracremona.it/ionos/login_error.php?session55be87f9ea2228,1,1&1 Ionos,['ionos.com'],0.91255605
m.g2234.com,http://m.g2234.com/,0,,,0.72322005
paramounthcla-online-pdf-doc.ml,https://paramounthcla-online-pdf-doc.ml/adobe/pdf/service,0,,,0.7781273
mail.orthotruth.com,http://mail.orthotruth.com/wp-content/upgrade/applekeystoreKey6781688ltunesconnectkey8913/login/,1,Apple,"['apple.com', 'icloud.com']",0.9221505
rac3dspbd.com_duplicate,https://rac3dspbd.com/boa/bankofamerica/d46f48c5/overviewshn.php?cmd=_account-details&session=9b4aae7ebdadd7f4f0632e727a4a59dd&dispatch=51c0187cf7908812037f7507a18e0f5f3ccab187,1,Bank of America,"['bankofamerica.com', 'merrilledge.com']",0.8812807
clgdelivers-auth.ml,http://clgdelivers-auth.ml/adobe/email/security,0,,,0.7781273
dresdenrestaurant.xyz,https://dresdenrestaurant.xyz/gordon/One-Drive-Arab/One-Drive-Arab/oneddrive/index.php,0,Microsoft,['microsoft.com'],0.96366924
techvelty.com,http://techvelty.com/wp-includes/widgets/contact/Login/complete.php,0,Netflix,['netflix.com'],0.9876647
municastilla.gob.pe,https://municastilla.gob.pe/biblioteca/slider/css/tmp/bofmerica/inf-card.php,1,Bank of America,"['bankofamerica.com', 'merrilledge.com']",0.96461475
www.adobereader.cloud,http://www.adobereader.cloud/docushare/login2.php?33e26e1599769202706ac1e89d31c73c32e644ab3bfd401c706ac1e89d31c73c32e644ab3bfd401c706ac1e89d31c73c32e644ab3bfd401c706ac1e89d31c73c32e644ab3bfd401c706ac1e89d31c73c32e644ab3bfd401c,0,,,
paperearn.com,https://paperearn.com/wp-includes/ionos/message/cmd-login=ca34bf1005b905c9f32588e9cf821582/validate.php?src=DluZDluZHNmNDBlb2RzaDluZHNmNDDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbHNmNDBlb2RzaTRDluZHNmNDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbZWppZXdpb2U5NDluZHNmNDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpb25ja29uc2NrIGtjIGtqIHZqayBj&email=,1,1&1 Ionos,['ionos.com'],0.9800563
alfazzaland.com,http://alfazzaland.com/wp-content/plugins/lnc/lnc/ticket/fdf4111d586f5e286279b9d66/complete.php?ip=129.232.167.211,0,Netflix,['netflix.com'],0.98485047
fbkrelamarketplace.reealtorpropeertys.us_duplicate,https://fbkrelamarketplace.reealtorpropeertys.us/view-signin.php?facebook_com=&mUniqueID=629148641,0,,,
bit.do,http://bit.do/fHhng,1,eBay,['befr.ebay.be'],0.96894646
mail.sofia.ai,http://mail.sofia.ai/wp/alibaba/vqcr8bp0gud&lc=1033&id=64855&mkt=en-us&cbcxt=mai&snsc.php,1,Alibaba,"['alibaba.com', 'tanx.com']",0.95820236
presente.pubguc.world,http://presente.pubguc.world/,1,Facebook,['facebook.com'],0.98760766
middough-auth.gq,http://middough-auth.gq/adobe/email/security,0,,,0.7781273
m.4everproxy.com,http://m.4everproxy.com/direct/aHR0cHM6Ly9tb2JpbGUuZmFjZWJvb2suY29tL2xvZ2luLnBocD9uZXh0PWh0dHBzJTNBJTJGJTJGbW9iaWxlLmZhY2Vib29rLmNvbSUyRm5vdGlmaWNhdGlvbnMucGhwJTNGcmVmX2NvbXBvbmVudCUzRG1iYXNpY19ob21lX2hlYWRlciUyNnJlZl9wYWdlJTNEJTI1MkZ3YXAlMjUyRmhvbWUucGhwJTI2cmVmaWQlM0Q3JnJlZnNyYz1odHRwcyUzQSUyRiUyRm1vYmlsZS5mYWNlYm9vay5jb20lMkZub3RpZmljYXRpb25zLnBocCZyZWZpZD03JnJlZl9jb21wb25lbnQ9bWJhc2ljX2hvbWVfaGVhZGVyJl9yZHI-,0,,,0.70937663
peterlarsenpan.de,http://peterlarsenpan.de/ms/Adobe1/Adobe1,1,Adobe,['adobe.com'],0.9293225
35.188.36.185,http://35.188.36.185/facebook/27-03-2020/facebook.com/website,1,Facebook,['facebook.com'],0.99149585
marketplace-43742323.com,http://marketplace-43742323.com/,1,Facebook,['facebook.com'],0.89451534
thedelaneyseniorliving-web-doc.ml,http://thedelaneyseniorliving-web-doc.ml/adobe/email/security,0,,,0.7781273
shadetreetechnology.com_duplicate,http://shadetreetechnology.com/V4/validation/e205674e4a48487c35feb5d1abf2423f,1,PayPal,['paypal.com'],0.9540637
office.com.office365.psfc-o365.skyhigh8831.myshn.net,http://office.com.office365.psfc-o365.skyhigh8831.myshn.net/,0,Microsoft,['microsoft.com'],0.94488066
conforta.me,http://conforta.me/wp99/wp-content/Apple-ID.html,1,Apple,"['apple.com', 'icloud.com']",0.93624043
viewmyphotos.plantarinapoli.com,http://viewmyphotos.plantarinapoli.com/error.php,1,Adobe,['adobe.com'],0.9524699
paterehab-pdf-doc.ml,https://paterehab-pdf-doc.ml/adobe/pdf/service,0,,,0.7781273
krim-transfer.ru,http://krim-transfer.ru/document/adobe/,0,,,0.7829293
limasierraranch.com,http://limasierraranch.com/u/att/index.html,1,AT&T,['att.com'],0.9222194
ekofuel.org,http://ekofuel.org/god/pdf%20manual/index.html,0,,,0.73303914
magischer-garten.de,http://magischer-garten.de/modules/jmsslider/views/img/layers/none/post/china/logistic/intraship/emss.php?l=_jehfuq_vjoxk0qwhtogydw1774256418,1,EMS,['ems.com'],0.94416666
serv-acamai.com,http://serv-acamai.com/1und1/de/index.php,0,,,0.7948026
zhw.aba.vg,http://zhw.aba.vg/,0,,,
beautiinthecity.com,https://beautiinthecity.com/error/2020boa/Home/index.php,1,Bank of America,"['bankofamerica.com', 'merrilledge.com']",0.9745126
part.eyrehead.com,https://part.eyrehead.com/plm?pq=ZH9wlG9qbGKclbGlkm1laHZxYKCDomZkaWKjY31y/carsten.krueger%40deinurlaub24.de,1,Amazon,"['amazon.com', 'amazon.se', 'amazon.fr']",0.97968984
massanuttenbikerental.com,http://massanuttenbikerental.com/office/html,1,Microsoft,['microsoft.com'],0.97059524
travelvsem.ru,http://travelvsem.ru/c/at/Indexxatt.htm,1,AT&T,['att.com'],0.91432923
archiestore.co.za,http://archiestore.co.za/wp-content/plugins/Absa/Absa_Payment/_CqMvqmRHpzBVZGlxKpbsfwQTKRNNsBtqhdXsvKhsmtKSQMGStprFPPWgsSfkqrKZFBKmVCFvWLB_/_a4d5885911e7f4ea863ecce180388e169a39e4c714f1a99cb3376c2b706fe0b7a.php?8=&accessToFile=valid&fileAccess=25220&encryptedCookie=cc5dcea535063e842beb2b02d42556ea&u=fe12b46c88728fbfdb88261f1c64e755&connecting=ea9615aa0ad5bda4dceb0db321142960&phaseAccess=6b5e61b4e04cfb3636d8c8eb64286cc6&p=e5b175e7a9c36615835293af13f09b4b,1,Adobe,['adobe.com'],0.9622208
beauty4her.co.za,http://beauty4her.co.za/wp-content/plugins/post/china/logistics/ems.php,1,EMS,['ems.com'],0.94416666
ardillaproducciones.cl,http://ardillaproducciones.cl/wp-includes/theme-compats/adobe/pdfonline/adobe.php?.rand=launch.adobepdfproductsonline.com.aspx,0,,,0.7928068
middough-auth.ga,http://middough-auth.ga/adobe/email/security,0,,,0.7781273
fiuhhgui.cf,https://fiuhhgui.cf/000/nsw/data/UntitledNotebook1.html?run=login_cmd,0,,,0.88223195
98081017037-dot-oppaiwiuwe.rj.r.appspot.com,https://98081017037-dot-oppaiwiuwe.rj.r.appspot.com/,1,Microsoft,['microsoft.com'],0.9292317
ycz9265.000webhostapp.com,https://ycz9265.000webhostapp.com/alibaba/login.alibaba.com/login.alibaba.com/index.htm,1,Alibaba,"['alibaba.com', 'tanx.com']",0.89277303
realestateinvestordatabase.com,http://realestateinvestordatabase.com/wp-content/plugins/portfolio-cpt/tax/login.php,0,,,0.7993984
menon.org.gr,http://menon.org.gr/test,1,Adobe,['adobe.com'],0.9127443
maciel.med.br_duplicate,http://maciel.med.br/wp-includes/images/up/form/confirm.htm,0,,,
95469149680-dot-oppaiwiuwe.rj.r.appspot.com,http://95469149680-dot-oppaiwiuwe.rj.r.appspot.com/,1,Microsoft,['microsoft.com'],0.9292317
animalwelfareinc.org,http://animalwelfareinc.org/wp-content/themes/ado/adobelatest/adbx/home/index.php,1,Adobe,['adobe.com'],0.9622208
cpcontacts.serviceupgrade.ga,http://cpcontacts.serviceupgrade.ga/ionos/authenticate,1,1&1 Ionos,['ionos.com'],0.91255605
alanetterfiles.000webhostapp.com,http://alanetterfiles.000webhostapp.com/,0,,,0.85915536
jaywatsonfiles.000webhostapp.com,http://jaywatsonfiles.000webhostapp.com/,0,,,0.85898906
realestateinvestordatabase.com_duplicate,http://realestateinvestordatabase.com/wp-content/uploads/2019/12/login.php,0,,,0.7993984
www.bossoillwell.com_duplicate,https://www.bossoillwell.com/good/showmessaget/302,0,Adobe,['adobe.com'],0.89439607
mexnoticias.mx,http://mexnoticias.mx/de/cgi/login/?m=ai5sdwvzy2hlckbic2dtymguy29t,1,1&1 Ionos,['ionos.com'],0.9292175
173.82.143.219,http://173.82.143.219/Billing.php,1,Amazon,"['amazon.com', 'amazon.se', 'amazon.fr']",0.9735023
contractcomplianceservices.com,http://contractcomplianceservices.com/tuvera/index.php,1,Adobe,['adobe.com'],0.9689676
signln-eboy.de,https://signln-eboy.de/,1,eBay,['befr.ebay.be'],0.97604424
upliftmepk.com,http://upliftmepk.com/amz5/b8473/,1,Amazon,"['amazon.com', 'amazon.se', 'amazon.fr']",0.97651815
u449222428.ha003.t.justns.ru,http://u449222428.ha003.t.justns.ru/xsuuportx10/profiles/process.php?dispatch=,0,Amazon,"['amazon.com', 'amazon.se', 'amazon.fr']",0.97345287
dallascityhall-inv-auth.tk,http://dallascityhall-inv-auth.tk/adobe/email/invoice,0,,,0.7781273
app-eventdisable.serveirc.com,https://app-eventdisable.serveirc.com/_,0,Apple,"['apple.com', 'icloud.com']",0.89129406
alfazzaland.com_duplicate,http://alfazzaland.com/wp-content/plugins/lnc/lnc/ticket/fdf4111d586f5e286279b9d66/payment.php?ip=129.232.167.211,1,Netflix,['netflix.com'],0.9829457
grgpng.dynu.net,https://grgpng.dynu.net/repairs,1,AT&T,['att.com'],0.94406134
meljackson.net,http://meljackson.net/SharePoint/pdf.php?l=_JeHFUq_VJOXK0QWHtoGYDw_payment-TTcopy,0,,,0.82792574
facebook.market.fireequipmentservicecenter.com,https://facebook.market.fireequipmentservicecenter.com/b63923667b,1,Facebook,['facebook.com'],0.9888762
reberryllla11.com_duplicate,https://reberryllla11.com/ama/mazon/amazon/signin.php,1,Amazon,"['amazon.com', 'amazon.se', 'amazon.fr']",0.97589976
atandtweb.weebly.com,https://atandtweb.weebly.com/,1,AT&T,['att.com'],0.9285332
mail.diyar.uz,http://mail.diyar.uz/192837560311ocKontaktiert3A2F2F2Fws2FISAPIdllFM2MContact26item3D14276952031426requested3Kundenservice-raiuyyuuft.fmd.html,1,eBay,['befr.ebay.be'],0.96989816
loreal.oh-wear.com_duplicate,https://loreal.oh-wear.com/AU/Adobe2019,0,Adobe,['adobe.com'],0.96461385
amazon.co.uk.6l0i.ru,https://amazon.co.uk.6l0i.ru/f/index.php,1,Facebook,['facebook.com'],0.9860491
textlifestylerookiec.gq,http://textlifestylerookiec.gq/documenteOview/rvqjseptt66izwsmtj5rwj6k.php?cmd=_view-details&sssion=ab4e7b8ada765e3998e1c3fed7d1c8b2&dispatch=bd89e176211ca82cac304ab8cb3a144ad7c66202,1,Dropbox,['dropbox.com'],0.98300433
kerimburski.5v.pl,http://kerimburski.5v.pl/,1,Facebook,['facebook.com'],0.954992
dmy.360degreehosting.com,http://dmy.360degreehosting.com/x/veiwonline/AdobeV20/invoice.php/resources/admin/fckeditor/admin/admin/admin/login/adm/files,0,,,0.7273878
proctor0000h.000webhostapp.com,https://proctor0000h.000webhostapp.com/login.php,0,,,0.8077006
lamarzocco.com.pk,http://lamarzocco.com.pk/EMS/EMS%20POST/post/china/logistic/intraship/emss.php,0,,,
accedissl.naptel.net,https://accedissl.naptel.net/sing.ins.ebyson.desdfdff.5rgdfgfdfgd7e42a51529/4c1f00cd117e0f1e8e42a646ccb9ffcc.php,1,eBay,['befr.ebay.be'],0.97604424
footballconvo.co.za,https://footballconvo.co.za/wp-content/Apple-ID.html,1,Apple,"['apple.com', 'icloud.com']",0.93624043
caviarkelp.com,http://caviarkelp.com/adobe/acrobat/view.php,1,Adobe,['adobe.com'],0.9622208
adobe-docs.000webhostapp.com_duplicate,http://adobe-docs.000webhostapp.com/login/sign-in.php,0,,,
raymondreich.com,http://raymondreich.com/quotation/Validation,0,,,0.78135365
m-facebook-profile.item4324853.com_duplicate,https://m-facebook-profile.item4324853.com/7FTltbAd9c,1,Facebook,['facebook.com'],0.9836318
sow101.com,http://sow101.com/new/Adobe%20final%20auto/view/login.php?cmd=login_submit&amp;id=7fdafaf6c0067e107c18d1fc0c2aaa057fdafaf6c0067e107c18d1fc0c2aaa05,0,,,0.7993984
proxima-net.com,http://proxima-net.com/0193/webscr/,1,PayPal,['paypal.com'],0.9844921
azzelia.com,http://azzelia.com/css/ado.htm?cmd=login_submit&amp;id=c6a8f79527e072fb0036c5046c380623c6a8f79527e072fb0036c5046c380623&amp;session=c6a8f79527e072fb0036c5046c380623c6a8f79527e072fb0036c5046c380623,0,,,0.74500877
fbkrelatormarketplace.realtomarkrpopertys.us,https://fbkrelatormarketplace.realtomarkrpopertys.us/view-signin.php?facebook_com=&mUniqueID=906838899,0,,,
passportalibaba.gearhostpreview.com,http://passportalibaba.gearhostpreview.com/alibaba.com/icbu_login.html,1,Alibaba,"['alibaba.com', 'tanx.com']",0.90856874
proyekto-x.com,http://proyekto-x.com/toy/Indexxatt/Indexxatt.htm,1,AT&T,['att.com'],0.94406134
education2019.com,https://education2019.com/mazon/amazon/,1,Amazon,"['amazon.com', 'amazon.se', 'amazon.fr']",0.97651815
lomeshdave.com,http://lomeshdave.com/wp-includes/docx/Kasafinal/fud/d56655bde5f2c0353255b1970a61721d,1,Dropbox,['dropbox.com'],0.9677458
johanlochner-files.000webhostapp.com,http://johanlochner-files.000webhostapp.com/,0,,,0.85898906
arvzsozs.000webhostapp.com,https://arvzsozs.000webhostapp.com/login.htm,1,Facebook,['facebook.com'],0.9674819
centerofbiopolitics.com,https://centerofbiopolitics.com/zx/xca/qw/modifi/modifi/yx/d/indexa.php,1,Microsoft,['microsoft.com'],0.9647279
orthotruth.com,http://orthotruth.com/wp-content/upgrade/applekeystoreKey6781688ltunesconnectkey8913/login/billingcards.php?id=update_payment?457670614ab7780a11b7f5ef8d04187ed2378300386a774fcb134dd92d9fe1d9,1,Apple,"['apple.com', 'icloud.com']",0.9746398
animalwelfareinc.org_duplicate,http://animalwelfareinc.org/wp-content/themes/ado/adobelatest/adbx/home/error.php,1,Adobe,['adobe.com'],0.9524699
being-in-contact.de,https://being-in-contact.de/voice/otk.php?authlink=offb231101,1,Microsoft,['microsoft.com'],0.96725374
track-au.newmagz.com,http://track-au.newmagz.com/ga/click/2-105738506-5019-162469-297725-199357-9373c41463-a17f4c1ae3,0,Amazon,"['amazon.com', 'amazon.se', 'amazon.fr']",0.98128736
beautiinthecity.com_duplicate,https://beautiinthecity.com/error/2020boa/Home/security.php?cmd=_account-details&session=145fe50ac3dba021a11f83c2f6976560&dispatch=b3dd71ed0608bdb2393f9f0c77dc4af7c686a741,1,Bank of America,"['bankofamerica.com', 'merrilledge.com']",0.96912676
smartsolutions.ke,http://smartsolutions.ke/wp-admin/js/post/china/logistic/intraship/emss.php,1,EMS,['ems.com'],0.94416666
