Site Folder,url,Multimodal_Decision,Image Phish Score,Image_Decision,Text Phish Score,Text_Decision,Image Features,Text Features,Fused Features
controlware.com.bd,http://controlware.com.bd/wwwwww/china/logistic/intraship/emss.php?l=_JeHFUq_VJOXK0QWHtoGYDw1774256418&fid.13InboxLight.aspxn.1774256418&fid.125289964252813InboxLight99642_Product-email&email=ouazzani@zitron.com,phishing,1.0,1,0.7,1,1.00|1.00|0.94|1.00|1.00|1.00|0.00|0.80|0.03|0.00|0.00|0.00|1.00|0.00|1.00,1.00|1.00|0.00|0.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.70,0.2396|0.2396|0.2262|0.2396|0.2396|0.2396|0.0000|0.1917|0.0062|0.0000|0.0000|0.0000|0.2396|0.0000|0.2396|0.1416|0.1416|0.0000|0.0000|0.1416|0.1416|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0991
oactdocs-web-doc.ga_duplicate,https://oactdocs-web-doc.ga/adobe/email/security,phishing,1.0,1,0.7,1,1.00|1.00|0.85|1.00|1.00|1.00|1.00|0.70|0.02|0.00|1.00|0.85|1.00|0.00|1.00,1.00|1.00|0.00|0.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.70,0.2117|0.2117|0.1799|0.2117|0.2117|0.2117|0.2117|0.1482|0.0051|0.0000|0.2117|0.1799|0.2117|0.0000|0.2117|0.1416|0.1416|0.0000|0.0000|0.1416|0.1416|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0991
nl.thelittleglutenfreekitchenco.com,http://nl.thelittleglutenfreekitchenco.com/post/china/logistics/ems.php?email=,phishing,1.0,1,0.7,1,1.00|1.00|0.94|1.00|1.00|1.00|0.00|0.80|0.03|0.00|0.00|0.00|1.00|0.00|1.00,1.00|1.00|0.00|0.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.70,0.2396|0.2396|0.2262|0.2396|0.2396|0.2396|0.0000|0.1917|0.0062|0.0000|0.0000|0.0000|0.2396|0.0000|0.2396|0.1416|0.1416|0.0000|0.0000|0.1416|0.1416|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0991
rac3dspbd.com,https://rac3dspbd.com/boa/bankofamerica/91549edf/,phishing,1.0,1,0.24,0,1.00|1.00|0.98|1.00|1.00|1.00|1.00|0.80|0.01|0.00|0.00|0.00|1.00|0.00|1.00,0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.24,0.2260|0.2260|0.2210|0.2260|0.2260|0.2260|0.2260|0.1808|0.0018|0.0000|0.0000|0.0000|0.2260|0.0000|0.2260|0.0000|0.0000|0.0000|0.0000|0.2916|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0706
drwilliamkuehnling.org,https://drwilliamkuehnling.org/wsw/Validation/login.php?cmd=login_submit&id=d55467792909a448de3b4ec1dbbc8e54d55467792909a448de3b4ec1dbbc8e54&session=d55467792909a448de3b4ec1dbbc8e54d55467792909a448de3b4ec1dbbc8e54,benign,0.0,0,0.24,0,1.00|0.00|0.82|0.00|0.00|0.00|1.00|0.50|0.01|0.00|1.00|0.00|0.00|0.00|0.00,0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.24,0.3533|0.0000|0.2904|0.0000|0.0000|0.0000|0.3533|0.1766|0.0024|0.0000|0.3533|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.2916|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0706
perucreartebtl.com,https://perucreartebtl.com/outlook-owaphp/?ss=2&ea=bponationalsamplecenter@armstrongceilings.com&session=ab9c043fb42fb4e58d0885af56c514ccab9c043fb42fb4e58d0885af56c514cc,phishing,1.0,1,0.7,1,1.00|1.00|0.96|1.00|1.00|1.00|1.00|0.80|0.00|0.00|0.00|0.00|1.00|0.00|1.00,1.00|1.00|0.00|0.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.70,0.2263|0.2263|0.2182|0.2263|0.2263|0.2263|0.2263|0.1810|0.0004|0.0000|0.0000|0.0000|0.2263|0.0000|0.2263|0.1416|0.1416|0.0000|0.0000|0.1416|0.1416|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0991
cynthialoy.com_duplicate,http://cynthialoy.com/.invoice/login.php,phishing,1.0,1,0.91,1,1.00|1.00|0.85|1.00|1.00|1.00|0.00|0.70|0.05|0.00|1.00|0.85|1.00|0.00|1.00,0.00|0.00|1.00|1.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.91,0.2221|0.2221|0.1887|0.2221|0.2221|0.2221|0.0000|0.1554|0.0115|0.0000|0.2221|0.1887|0.2221|0.0000|0.2221|0.0000|0.0000|0.1366|0.1366|0.1366|0.1366|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.1240
oglanews.com,https://oglanews.com/wp-content/Apple-ID.html,phishing,1.0,1,1.07,1,1.00|1.00|0.94|1.00|1.00|1.00|1.00|0.80|0.00|0.00|0.00|0.00|1.00|0.00|1.00,1.00|1.00|0.00|1.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|1.07,0.2269|0.2269|0.2125|0.2269|0.2269|0.2269|0.2269|0.1815|0.0006|0.0000|0.0000|0.0000|0.2269|0.0000|0.2269|0.1209|0.1209|0.0000|0.1209|0.1209|0.1209|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.1300
gps4you.net,https://gps4you.net/wp/wp-content/wzAsqdFkywXpDYEp/AfpQNbCUCTLMbGTy/OWA-AUT/index.html,phishing,1.0,1,0.24,0,1.00|1.00|0.93|1.00|1.00|1.00|1.00|0.80|0.01|0.00|0.00|0.00|1.00|0.00|1.00,0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.24,0.2272|0.2272|0.2101|0.2272|0.2272|0.2272|0.2272|0.1817|0.0022|0.0000|0.0000|0.0000|0.2272|0.0000|0.2272|0.0000|0.0000|0.0000|0.0000|0.2916|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0706
bahankuliahonline.com,https://bahankuliahonline.com/signin/ebayde/ws/eBayISAPI/dllSignInru/index.htm,phishing,1.0,1,0.37,0,1.00|1.00|0.98|1.00|1.00|1.00|1.00|0.80|0.00|0.00|0.00|0.00|1.00|0.00|1.00,0.00|0.00|1.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.37,0.2260|0.2260|0.2206|0.2260|0.2260|0.2260|0.2260|0.1808|0.0009|0.0000|0.0000|0.0000|0.2260|0.0000|0.2260|0.0000|0.0000|0.2053|0.0000|0.2053|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0754
www.linkverified.uk,http://www.linkverified.uk/www.ebay.co.uk/itm/view/126548795655/,phishing,1.0,1,0.7,1,1.00|1.00|0.97|1.00|1.00|1.00|0.00|0.80|0.00|0.00|0.00|0.00|1.00|0.00|1.00,1.00|1.00|0.00|0.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.70,0.2389|0.2389|0.2322|0.2389|0.2389|0.2389|0.0000|0.1911|0.0010|0.0000|0.0000|0.0000|0.2389|0.0000|0.2389|0.1416|0.1416|0.0000|0.0000|0.1416|0.1416|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0991
medical-news-reporting.com,http://medical-news-reporting.com/zebc049e313/c8e95a14b677899d05b624e3/index.php?id=226bf3370e101d1c93c02298155dae0f,phishing,1.0,1,0.3,0,1.00|1.00|0.98|1.00|1.00|1.00|0.00|0.80|0.00|0.00|0.00|0.00|1.00|0.00|1.00,1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.30,0.2387|0.2387|0.2336|0.2387|0.2387|0.2387|0.0000|0.1910|0.0004|0.0000|0.0000|0.0000|0.2387|0.0000|0.2387|0.2870|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0873
lazarus.co.zw,http://lazarus.co.zw/dft/PDFFILE,benign,0.0,0,0.41,0,1.00|0.00|0.77|0.00|0.00|0.00|0.00|0.50|0.03|0.00|1.00|0.00|0.00|0.00|0.00,0.00|0.00|0.00|0.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.41,0.4152|0.0000|0.3194|0.0000|0.0000|0.0000|0.0000|0.2076|0.0106|0.0000|0.4152|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.2038|0.2038|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0832
blog.cellprofiler.org,https://blog.cellprofiler.org/192837560311ocKontaktiert3A2F2F2Fws2FISAPIdllFM2MContact26item3D14276952031426requested3Kundenservice-redacted@email.html,phishing,1.0,1,0.47,0,1.00|1.00|0.97|1.00|1.00|1.00|1.00|0.80|0.00|0.00|0.00|0.00|1.00|0.00|1.00,1.00|0.00|1.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.47,0.2261|0.2261|0.2194|0.2261|0.2261|0.2261|0.2261|0.1809|0.0009|0.0000|0.0000|0.0000|0.2261|0.0000|0.2261|0.1671|0.0000|0.1671|0.0000|0.1671|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0787
eyudt.top,http://eyudt.top/pay/paypal,benign,0.0,0,0.24,0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.24,0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.6804|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.1646
lifescapeservices-inv.ml,http://lifescapeservices-inv.ml/adobe/email/security/,phishing,1.0,1,0.7,1,1.00|1.00|0.85|1.00|1.00|1.00|0.00|0.70|0.02|0.00|1.00|0.85|1.00|0.00|1.00,1.00|1.00|0.00|0.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.70,0.2221|0.2221|0.1888|0.2221|0.2221|0.2221|0.0000|0.1555|0.0053|0.0000|0.2221|0.1888|0.2221|0.0000|0.2221|0.1416|0.1416|0.0000|0.0000|0.1416|0.1416|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0991
bestuniqueblogz.com,https://bestuniqueblogz.com/wp-includes/s1/EMS/intraship/emss.php?l=_JeHFUq_VJOXK0QWHtoGYDw1774256418&,phishing,0.0,0,0.7,1,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.50|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.00|1.00|0.00|0.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.70,0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.2683|0.1342|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.3304|0.3304|0.0000|0.0000|0.3304|0.3304|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.2312
designfitters.com,http://designfitters.com/poster/adobe,benign,0.0,0,0.24,0,1.00|0.00|0.81|0.00|0.00|0.00|0.00|0.50|0.01|0.00|1.00|0.00|0.00|0.00|0.00,0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.24,0.4102|0.0000|0.3339|0.0000|0.0000|0.0000|0.0000|0.2051|0.0028|0.0000|0.4102|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.2916|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0706
eitfirst.com,http://eitfirst.com/zoom-inf2o28122/appsuite,phishing,1.0,1,1.2,1,1.00|1.00|0.96|1.00|1.00|1.00|0.00|0.80|0.00|0.00|0.00|0.00|1.00|0.00|1.00,1.00|1.00|1.00|1.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|1.20,0.2392|0.2392|0.2300|0.2392|0.2392|0.2392|0.0000|0.1914|0.0006|0.0000|0.0000|0.0000|0.2392|0.0000|0.2392|0.1100|0.1100|0.1100|0.1100|0.1100|0.1100|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.1320
netflix.login-update.again-member.com,http://netflix.login-update.again-member.com/Files/Login.php,phishing,1.0,1,0.37,0,1.00|1.00|0.99|1.00|1.00|1.00|0.00|0.80|0.01|0.00|0.00|0.00|1.00|0.00|1.00,0.00|0.00|1.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.37,0.2385|0.2385|0.2351|0.2385|0.2385|0.2385|0.0000|0.1908|0.0018|0.0000|0.0000|0.0000|0.2385|0.0000|0.2385|0.0000|0.0000|0.2053|0.0000|0.2053|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0754
baxterchidev.com,http://baxterchidev.com/escrow-cd/onedrive-RD46,phishing,1.0,1,0.51,1,1.00|1.00|0.97|1.00|1.00|1.00|0.00|0.80|0.00|0.00|0.00|0.00|1.00|0.00|1.00,1.00|0.00|0.00|0.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.51,0.2390|0.2390|0.2316|0.2390|0.2390|0.2390|0.0000|0.1912|0.0004|0.0000|0.0000|0.0000|0.2390|0.0000|0.2390|0.1661|0.0000|0.0000|0.0000|0.1661|0.1661|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0850
distinctfreight.co.zw,http://distinctfreight.co.zw/fgjj/PDFFILE/,phishing,1.0,1,0.41,0,1.00|1.00|0.85|1.00|1.00|1.00|0.00|0.70|0.03|0.00|1.00|0.85|1.00|0.00|1.00,0.00|0.00|0.00|0.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.41,0.2221|0.2221|0.1888|0.2221|0.2221|0.2221|0.0000|0.1555|0.0057|0.0000|0.2221|0.1888|0.2221|0.0000|0.2221|0.0000|0.0000|0.0000|0.0000|0.2038|0.2038|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0832
ailsd.duckdns.org,https://ailsd.duckdns.org/at/attpho/index.html,phishing,1.0,1,0.7,1,1.00|1.00|0.87|1.00|1.00|1.00|1.00|0.80|0.00|0.00|0.00|0.00|1.00|0.00|1.00,1.00|1.00|0.00|0.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.70,0.2283|0.2283|0.1996|0.2283|0.2283|0.2283|0.2283|0.1826|0.0003|0.0000|0.0000|0.0000|0.2283|0.0000|0.2283|0.1416|0.1416|0.0000|0.0000|0.1416|0.1416|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0991
9dollarsintothousands.com,http://9dollarsintothousands.com/wp-includes/Text/Diff/Engine/wp-content/Login.htm,phishing,1.0,1,0.24,0,1.00|1.00|0.94|1.00|1.00|0.00|0.00|0.80|0.01|0.00|0.00|0.00|1.00|0.00|1.00,0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.24,0.2552|0.2552|0.2398|0.2552|0.2552|0.0000|0.0000|0.2042|0.0027|0.0000|0.0000|0.0000|0.2552|0.0000|0.2552|0.0000|0.0000|0.0000|0.0000|0.2916|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0706
www.argumentculture.com,http://www.argumentculture.com/survey/sf43ee33/source=12891/subid=e:imcw5avqpcvdcy59ttdd-vtjf4nyumb3jl1gvlnkr1s&subid2=morganintown.com&subid3=e:yo-rq4q8weazhx5ep9r_mw&subid4=freenet.de&firstname=klaus&surname=silbernagl&city=untermeitingen&email=jackdavis@eureliosollutions.com/pid=19,benign,0.6,0,0.41,0,1.00|1.00|0.93|1.00|0.00|0.00|0.00|0.80|0.00|0.00|0.00|0.00|0.00|0.00|0.60,0.00|0.00|0.00|0.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.41,0.3172|0.3172|0.2960|0.3172|0.0000|0.0000|0.0000|0.2537|0.0012|0.0000|0.0000|0.0000|0.0000|0.0000|0.1903|0.0000|0.0000|0.0000|0.0000|0.2038|0.2038|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0832
my-type.nichost.ru,http://my-type.nichost.ru/includes/www.netflix.com/desktop/conta/inicio119290181912.php?tork=0YWK9L3O0YWK-7VES-0YWK7VES7VES-3Z667VES,phishing,1.0,1,0.53,1,1.00|1.00|0.98|1.00|1.00|0.00|0.00|0.80|0.01|0.00|0.00|0.00|1.00|0.00|1.00,0.00|0.00|1.00|0.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.53,0.2538|0.2538|0.2497|0.2538|0.2538|0.0000|0.0000|0.2030|0.0019|0.0000|0.0000|0.0000|0.2538|0.0000|0.2538|0.0000|0.0000|0.1655|0.0000|0.1655|0.1655|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0882
caviarkelp.com_duplicate,http://caviarkelp.com/adobe/acrobat/error.php,phishing,1.0,1,1.07,1,1.00|1.00|0.95|1.00|1.00|1.00|0.00|0.80|0.01|0.00|0.00|0.00|1.00|0.00|1.00,1.00|1.00|0.00|1.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|1.07,0.2394|0.2394|0.2280|0.2394|0.2394|0.2394|0.0000|0.1915|0.0031|0.0000|0.0000|0.0000|0.2394|0.0000|0.2394|0.1209|0.1209|0.0000|0.1209|0.1209|0.1209|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.1300
act-fire.kz,http://act-fire.kz/llehsd/trider/lia/oj/index.htm,phishing,1.0,1,0.74,1,1.00|1.00|0.97|1.00|1.00|1.00|0.00|0.80|0.01|0.00|0.00|0.00|1.00|0.00|1.00,0.00|0.00|1.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.74,0.2390|0.2390|0.2314|0.2390|0.2390|0.2390|0.0000|0.1912|0.0028|0.0000|0.0000|0.0000|0.2390|0.0000|0.2390|0.0000|0.0000|0.1592|0.1592|0.1592|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.1181
dewaltweedeaterguide.com,http://dewaltweedeaterguide.com/drop/Dropbox/wp-incllude/,phishing,1.0,1,0.7,1,1.00|1.00|0.96|1.00|1.00|1.00|0.00|0.80|0.01|0.00|0.00|0.00|1.00|0.00|1.00,1.00|1.00|0.00|0.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.70,0.2393|0.2393|0.2293|0.2393|0.2393|0.2393|0.0000|0.1914|0.0019|0.0000|0.0000|0.0000|0.2393|0.0000|0.2393|0.1416|0.1416|0.0000|0.0000|0.1416|0.1416|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0991
about.facebook-page.business-id-145654234324234.com,https://about.facebook-page.business-id-145654234324234.com/,phishing,1.0,1,0.35,0,1.00|1.00|0.98|1.00|1.00|1.00|1.00|0.80|0.00|0.00|0.00|0.00|1.00|0.00|1.00,1.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.35,0.2258|0.2258|0.2220|0.2258|0.2258|0.2258|0.2258|0.1807|0.0004|0.0000|0.0000|0.0000|0.2258|0.0000|0.2258|0.2061|0.0000|0.0000|0.0000|0.2061|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0713
solutionsksa.com,http://solutionsksa.com/wp-content/uploads/2020/login.php,phishing,1.0,1,0.91,1,1.00|1.00|0.85|1.00|1.00|1.00|0.00|0.70|0.05|0.00|1.00|0.85|1.00|0.00|1.00,0.00|0.00|1.00|1.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.91,0.2221|0.2221|0.1887|0.2221|0.2221|0.2221|0.0000|0.1554|0.0115|0.0000|0.2221|0.1887|0.2221|0.0000|0.2221|0.0000|0.0000|0.1366|0.1366|0.1366|0.1366|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.1240
